,0,1,2,3,4
0,지역,장소유형,상호명 (주소),노출일시,소독여부
1,방이동,음식점,왕코등갈비 방이점(올림픽로32길 58),①12월31일 15:00~21:00②1월 1일 15:00~21:00③1월 2일 15:00~21:00④1월 4일 15:00~21:00⑤1월 5일 15:00~21:00⑥1월 6일 15:00~21:00⑦1월 7일 15:00~21:00⑧1월 8일 15:00~21:00,소독예정
