,시도,시구군,장소유형,상호명,주소(도로명주소),노출일시,소독여부
46,부산시,동래구,야외,온천장역 1번 출구 앞 바둑두는 곳,동래구 온천동 157-1,2021. 1. 3.(일) ~ 1. 5.(화)13:00 ~ 16:30,소독완료
47,부산시,-,대중교통,SRT,대전 - 부산,"2021. 1. 8.(금) 13:10 ~ 14:45SR329 일반실5호차 6A, 8A, 8D",소독완료
48,부산시,부산진구,사무실,전포동 선거사무실,"부산진구 중앙대로 808, 금정빌딩 802호",2020.12.30.(수) 18:30 ~ 20:302021. 1. 5.(화) 14:00 ~ 15:00,소독완료
49,부산,중구,택시,택시,영도 아이존빌 인근~영주동 부산터널 밑,"2021.1.7.(목) 20:42~21:00경8,000원 현금 수납한 택시기사님",-
50,부산,-,택시,택시,부전시장정류장~부산진구보건소,"2021.1.8.(금) 15:43~15:503,500원 현금 수납한 택시기사님",-
51,부산,-,버스,190번 버스,남부민동 정류장~해양대학교 정류장,2021.1.3.(일) 15:06~16:302021.1.3.(일) 18:31~19:502021.1.3.(일) 21:52~22:542021.1.4.(월) 14:10~15:382021.1.4.(월) 17:40~19:112021.1.4.(월) 21:04~22:242021.1.5.(화) 16:10~17:412021.1.5.(화) 19:42~21:072021.1.5.(화) 22:54~23:512021.1.6.(수) 14:48~16:162021.1.6.(수) 18:18~19:482021.1.6.(수) 21:36~22:502021.1.7.(목) 8:57~10:27,소독완료
52,부산,-,버스,190번 버스,해양대학교 정류장~남부민동 정류장,2021.1.3.(일) 13:46~15:062021.1.3.(일) 17:11~18:312021.1.3.(일) 20:32~21:522021.1.4.(월) 12:50~14:102021.1.4.(월) 16:20~17:402021.1.4.(월) 19:44~21:042021.1.5.(화) 14:50~16:102021.1.5.(화) 18:22~19:422021.1.5.(화) 21:34~22:542021.1.6.(수) 13:28~14:482021.1.6.(수) 16:58~18:182021.1.6.(수) 20:16~21:362021.1.7.(목) 7:37~8:57,소독완료
53,부산,-,택시,택시,해동병원~부산대학교병원 하차,2021.1.7.(목) 19:20~19:30현금수납하신 택시기사님,-
54,부산,-,택시,택시,동삼1동 행정복지센터 주변~동삼주택 정류장,"2021.1.7.(목) 18:35~18:403,300원 현금수납하신 택시기사님",-
55,부산,강서구,엘리베이터,SM빌딩,"강서구 명지국제8로 265, 명지동",2021.1.2.(토)~2021.1.7.(목)(강서구보건소로 연락바람),소독완료
56,부산,금정구,미용실,신혜손길,금정구 학산로23 1층(남산동),2021.1.6.(수) 11:00~22:00(금정구보건소로 연락바람),소독완료
57,부산,남구,음식점,맘스터치 문현금융단지점,"남구 문현금융로22, 2층(문현동)",2021.1.2.(토) ~ 1.3.(일) 10:30~21:002021.1.4.(월) ~ 1.8.(금) 10:00~15:002021.1.6.(수) 17:30~23:00,소독완료
58,부산,동구,PC방,에이아이 PC방,"동구 초량중로 95, 2층 (초량동) 흡연실 이용자 및 42~110번 PC사용자",2021.1.2.(토) 11:44~17:582021.1.3.(일) 12:28~20:242021.1.4.(월) 12:08~17:262021.1.5.(화) 11:41~13:31,소독완료
