,시도,시구군,장소유형,상호명,주소(도로명주소),노출일시,소독여부
0,부산,강서구,음식점,단지분식,강서구 유통단지1로 50,2021.01.04(월)-01.06(수) 11:00-14:002021.01.08(금) 11:00-14:002021.01.11(월)-01.14(목) 11:00-14:00,소독완료
1,부산,,택시,,부산보건고등학교 인근-삼창파크타운 인근,2021.1.14(목) 14:45-15:00경,
2,부산,,버스,7번(70자1216),시내버스 7번(70자1216),2021.1.12(화) 06:11-14:002021.1.13(수) 05:59-13:462021.1.14(목) 05:47-13:32,소독완료
3,부산,,버스,508번 버스(70자1242),시내버스 508번(70자1242),2021.1.12(화) 05:00-14:062021.1.13(수) 06:21-13:462021.1.14(목) 06:00-13:22,소독완료
4,부산,부산진구,미용실,지오헤어클럽,부산진구 황령대로74번길 30(전포동),2021.01.03(일)-1.13(수),소독완료
5,부산,남구,음식점,와사비 문현점,남구 자성로 148,2021.01.14(목) 12:17-13:06,소독완료
6,부산,동구,음식점,김명자굴국밥,동구 조방로 35,2021.01.11(월) 16:15-16:50,소독완료
7,부산,부산진구,음식점,월전숯불장어구이,부산진구 자유평화로21-10 1층(범천동),2021.1.9.(토) 17:22~17:59(부산진구보건소로 연락바람),소독완료
8,부산,남구,캠핑용품상점,아토즈캠핑,남구 신선로 446(용당동),2021.1.9.(토) 11:30~20:002021.1.11.(월) 12:00~15:00,소독완료
9,부산,남구,음식점,홍춘천치즈닭갈비 W스퀘어점,남구 분포로 145 W스퀘어(용호동),2021.1.12.(화) 13:19~14:02(빨간후드 입은분 동행자),소독완료
10,부산,금정구,게임장,스마일게임랜드,금정구 서부로6,2021.1.9.(토) 15:10~17:152021.1.10.(일) 14:00~16:00,소독완료
11,부산,금정구,게임장,서동게임랜드,금정구 서동로186번길 6,2021.1.9.(토) 13:30~14:30,소독완료
12,부산,기장군,버스,189번,189번 버스 이용객(대진여객(기장군 철마면)->대진여객(기장군 철마면)),2021.1.2.(토) 05:08~13:002021.1.4.(월) 15:55~18:302021.1.5.(화) 13:09~21:482021.1.6.(수) 14:08~22:362021.1.9.(토) 05:36~13:282021.1.10.(일) 05:55~13:55,소독완료
13,부산,금정구,의원,늘편한내과의원,금정구 중앙대로 1841번길 15(구서동),2021.1.8.(금)~1.12.(화),소독완료
14,부산,수영구,종교시설,사도행전교회,수영구 과정로46(망미동),2020.12.20.(일)~2021.1.12.(화),소독완료
15,부산,부산진구,부동산중개업,중앙공인중개사사무소,"부산진구 범일로 154번길 33, 1027호(범천동)",2021.1.8.(금)2021.1.9.(토)2021.1.11.(월),-
16,부산,남구,음식점,왕다리수산,남구 우암로 178(우암동),2021.1.11.(월) 15:50~16:30,소독완료
17,부산,동래구,대형목욕탕,허심청,온천장로107번길 32,2021.1.8.(금) 12:20~16:40남탕 및 여탕 이용자,소독완료
18,부산,동구,약국,동아약국,동구 중앙대로 383(수정동),2021.1.4.(월)~1.9.(토),소독완료
19,부산,-,택시,택시,사직동 57번 버스 종점~전포고개정류장,2021.1.7.(목) 21:55~22:25현금 수납한 택시기사님,-
20,부산,동래구,약국,동부산약국,동래구 충렬대로359번길 6(안락동),2021.1.7.(목)~1.12.(화),소독완료
21,부산시,동래구,야외,온천장역 1번 출구 앞 바둑두는 곳,동래구 온천동 157-1,2021. 1. 3.(일) ~ 1. 5.(화)13:00 ~ 16:30,소독완료
22,부산시,부산진구,음식점,써브웨이 부산서면점,"부산진구 중앙대로 690, 1층",2021. 1. 2.(토) 13:46 ~ 14:07,소독완료
23,부산시,-,대중교통,SRT,대전 - 부산,"2021. 1. 8.(금) 13:10 ~ 14:45SR329 일반실5호차 6A, 8A, 8D",소독완료
