,장소유형,상호명,주소,노출일시,비고
0,게임장,고래고래 오락실,"동안구 인덕원로 30번길 44, 4층(관양2동)","'20.12.18.(금), 21(월), 25(금)~27(일)",선별진료소 검사요망
1,오락(바둑),성결기원,만안구 성결대학로 10 (안양8동),2020.12.21.(월),선별진료소 검사요망
